Edad,Ingresos mensuales,Dependientes,Porcentaje de endeudamiento,Situación Laboral,Nivel Educativo,Estado Civil,Puntaje de Crédito,Incumplimientos Previos,Monto del Préstamo,Provincias,Calificación de Riesgo
49,6066.583333333333,0.0,0.6279344496490337,Desempleado,Universitario,Divorciado,688.0,2.0,45713.0,Madrid,Bajo
25,4118.916666666667,0.0,0.7390292754971979,Desempleado,Universitario,Viudo,766.0,3.0,36528.0,Alicante,Bajo
31,3773.3333333333335,0.0,0.1447217314487632,Autónomo,Universitario,Viudo,672.0,0.0,6553.0,Murcia,Bajo
18,7806.5,1.0,,Desempleado,Universitario,Viudo,699.0,1.0,27544.0,Cádiz,Bajo
32,1683.75,0.0,,Desempleado,Universitario,Viudo,710.0,4.0,27544.0,Vizcaya,Bajo
55,2682.5,4.0,0.9294190742466604,Autónomo,Universitario,Casado,600.0,0.0,29918.0,A Coruña,Bajo
37,6571.25,0.0,,Autónomo,Universitario,Divorciado,718.0,3.0,27544.0,Pontevedra,Bajo
60,5814.416666666667,4.0,0.2221059722242128,Autónomo,Universitario,Divorciado,686.0,2.0,15497.0,Granada,Alto
68,5814.416666666667,4.0,0.6155819586372953,Autónomo,Universitario,Divorciado,699.0,2.0,42951.0,Girona,Bajo
60,5814.416666666667,0.0,0.5303054190016195,Empleado,Universitario,Divorciado,738.0,1.0,37001.0,Badajoz,Bajo
64,9859.833333333334,1.0,0.3467688770939333,Desempleado,Universitario,Divorciado,702.0,3.0,41029.0,Valladolid,Bajo
55,5150.916666666667,0.0,0.7095662584329651,Autónomo,Secundario,Divorciado,641.0,0.0,43859.0,Islas Baleares,Bajo
41,7899.666666666667,2.0,,Desempleado,Universitario,Soltero,742.0,3.0,27544.0,Las Palmas,Bajo
41,7761.083333333333,0.0,0.1508809981424414,Empleado,Universitario,Casado,791.0,1.0,14052.0,Álava,Bajo
64,5814.416666666667,3.0,0.5537242199704757,Autónomo,Universitario,Casado,749.0,0.0,38635.0,León,Bajo
64,5814.416666666667,0.0,0.3022085907156063,Empleado,Universitario,Casado,636.0,4.0,21086.0,Ciudad Real,Bajo
49,9156.833333333334,0.0,0.3270599370233523,Desempleado,Secundario,Divorciado,699.0,2.0,35938.0,Cáceres,Bajo
48,3867.3333333333335,3.0,1.0429882778831236,Desempleado,Universitario,Casado,632.0,1.0,48403.0,Ourense,Bajo
69,3172.083333333333,3.0,0.4155523446735846,Autónomo,Universitario,Soltero,699.0,0.0,15818.0,Guadalajara,Bajo
57,5814.416666666667,1.0,0.2350192767976151,Autónomo,Universitario,Viudo,673.0,1.0,16398.0,Burgos,Bajo
46,5814.416666666667,4.0,0.0914680463789718,Autónomo,Secundario,Viudo,637.0,2.0,6382.0,Salamanca,Bajo
57,4562.833333333333,0.0,0.2181941045403075,Autónomo,Universitario,Soltero,604.0,2.0,11947.0,Cantabria,Alto
41,9114.916666666666,2.0,0.0480165296812002,Autónomo,Secundario,Divorciado,606.0,0.0,5252.0,La Rioja,Bajo
47,2755.4166666666665,3.0,0.2085286556782095,Autónomo,Secundario,Soltero,783.0,2.0,6895.0,Albacete,Bajo
