Edad,Ingresos mensuales,Dependientes,Porcentaje de endeudamiento,Situación Laboral,Nivel Educativo,Estado Civil,Puntaje de Crédito,Incumplimientos Previos,Monto del Préstamo,Provincias,Calificación de Riesgo
49,6066.583333333333,0.0,0.6279344496490337,Desempleado,Universitario,Divorciado,688.0,2.0,45713.0,Madrid,Bajo
57,5814.416666666667,0.0,0.4849297006005188,Empleado,Universitario,Viudo,690.0,3.0,33835.0,Barcelona,Medio
21,4640.583333333333,3.0,0.6576579812164419,Empleado,Universitario,Soltero,600.0,3.0,36623.0,Valencia,Medio
59,2209.0,3.0,1.001244907197827,Desempleado,Universitario,Soltero,622.0,4.0,26541.0,Sevilla,Medio
25,4118.916666666667,0.0,0.7390292754971979,Desempleado,Universitario,Viudo,766.0,3.0,36528.0,Alicante,Bajo
30,5814.416666666667,4.0,0.2237685064423201,Desempleado,Universitario,Divorciado,717.0,3.0,15613.0,Málaga,Medio
31,3773.3333333333335,0.0,0.1447217314487632,Autónomo,Universitario,Viudo,672.0,0.0,6553.0,Murcia,Bajo
18,7806.5,1.0,,Desempleado,Universitario,Viudo,699.0,1.0,27544.0,Cádiz,Bajo
32,1683.75,0.0,,Desempleado,Universitario,Viudo,710.0,4.0,27544.0,Vizcaya,Bajo
55,2682.5,4.0,0.9294190742466604,Autónomo,Universitario,Casado,600.0,0.0,29918.0,A Coruña,Bajo
42,9684.333333333334,3.0,0.2131535469658899,Empleado,Universitario,Soltero,707.0,0.0,24771.0,Zaragoza,Medio
37,6571.25,0.0,,Autónomo,Universitario,Divorciado,718.0,3.0,27544.0,Pontevedra,Bajo
60,5814.416666666667,4.0,0.2221059722242128,Autónomo,Universitario,Divorciado,686.0,2.0,15497.0,Granada,Alto
68,6621.166666666667,0.0,0.5457874996853526,Autónomo,Secundario,Divorciado,688.0,3.0,43365.0,Tarragona,Medio
29,9959.166666666666,0.0,0.041946280645971,Empleado,Secundario,Divorciado,699.0,2.0,5013.0,Córdoba,Medio
68,5814.416666666667,4.0,0.6155819586372953,Autónomo,Universitario,Divorciado,699.0,2.0,42951.0,Girona,Bajo
55,5914.833333333333,3.0,0.5208656203330609,Desempleado,Secundario,Casado,706.0,1.0,36970.0,Almería,Medio
18,8552.333333333334,3.0,0.2479050551506411,Desempleado,Universitario,Viudo,654.0,1.0,25442.0,Toledo,Medio
60,5814.416666666667,0.0,0.5303054190016195,Empleado,Universitario,Divorciado,738.0,1.0,37001.0,Badajoz,Bajo
56,1757.0,2.0,1.0452950104344527,Empleado,Universitario,Casado,702.0,0.0,22039.0,Navarra,Medio
26,4288.333333333333,1.0,0.5823940924990284,Desempleado,Universitario,Divorciado,699.0,3.0,29970.0,Jaén,Medio
22,8347.416666666666,3.0,,Empleado,Universitario,Viudo,796.0,2.0,27544.0,Castellón,Medio
37,5814.416666666667,0.0,0.5002508133518696,Autónomo,Universitario,Soltero,664.0,3.0,34904.0,Huelva,Medio
64,9859.833333333334,1.0,0.3467688770939333,Desempleado,Universitario,Divorciado,702.0,3.0,41029.0,Valladolid,Bajo
55,5150.916666666667,0.0,0.7095662584329651,Autónomo,Secundario,Divorciado,641.0,0.0,43859.0,Islas Baleares,Bajo
41,7899.666666666667,2.0,,Desempleado,Universitario,Soltero,742.0,3.0,27544.0,Las Palmas,Bajo
36,7112.916666666667,4.0,0.2206549118387909,Empleado,Universitario,Soltero,667.0,2.0,18834.0,Santa Cruz de Tenerife,Medio
